name,course_code,learning_style,personalities,gender
User_1,CS135,audio,introvert,non-binary/other
User_2,ENGL100,visual,extrovert,non-binary/other
User_3,CS135,kinaesthetic,introvert,male
User_4,CS135,kinaesthetic,introvert,female
User_5,COMMST223,kinaesthetic,introvert,female
User_6,COMMST100,audio,extrovert,non-binary/other
User_7,ENGL100,audio,introvert,non-binary/other
User_8,MATH137,visual,extrovert,non-binary/other
User_9,MATH145,visual,extrovert,male
User_10,MATH137,audio,extrovert,female
User_11,MATH145,visual,introvert,male
User_12,MATH135,kinaesthetic,extrovert,non-binary/other
User_13,MATH137,visual,introvert,female
User_14,MATH135,kinaesthetic,introvert,male
User_15,MATH135,kinaesthetic,extrovert,female
User_16,MATH147,visual,introvert,male
User_17,MATH145,visual,introvert,female
User_18,COMMST100,audio,introvert,non-binary/other
User_19,MATH137,kinaesthetic,extrovert,female
User_20,CS135,visual,introvert,male
User_21,ENGL100,kinaesthetic,extrovert,non-binary/other
User_22,MATH147,visual,extrovert,female
User_23,COMMST223,visual,extrovert,female
User_24,MATH147,kinaesthetic,extrovert,non-binary/other
User_25,MATH135,kinaesthetic,extrovert,female
User_26,COMMST100,visual,extrovert,non-binary/other
User_27,CS135,kinaesthetic,introvert,non-binary/other
User_28,MATH145,visual,introvert,male
User_29,MATH137,kinaesthetic,extrovert,female
User_30,COMMST223,audio,introvert,non-binary/other
User_31,COMMST223,kinaesthetic,extrovert,female
User_32,COMMST223,audio,introvert,male
User_33,MATH135,kinaesthetic,extrovert,non-binary/other
User_34,MATH145,kinaesthetic,introvert,female
User_35,MATH137,kinaesthetic,extrovert,female
User_36,ENGL100,kinaesthetic,introvert,non-binary/other
User_37,MATH135,visual,introvert,female
User_38,COMMST100,kinaesthetic,extrovert,female
User_39,COMMST223,kinaesthetic,introvert,male
User_40,MATH135,audio,extrovert,male
User_41,COMMST223,audio,introvert,male
User_42,COMMST223,audio,extrovert,non-binary/other
User_43,MATH147,kinaesthetic,extrovert,male
User_44,MATH147,visual,introvert,non-binary/other
User_45,COMMST100,visual,extrovert,male
User_46,ENGL100,visual,introvert,non-binary/other
User_47,MATH137,audio,introvert,non-binary/other
User_48,COMMST223,audio,introvert,female
User_49,MATH147,visual,introvert,male
User_50,COMMST223,audio,introvert,male
